255.611, 130.409, 8.350, 11.573 False
255.333, 130.396, 8.350, 11.606 False
255.055, 130.384, 8.349, 11.639 False
254.777, 130.371, 8.349, 11.672 False
254.499, 130.358, 8.348, 11.705 False
254.221, 130.346, 8.348, 11.738 False
253.943, 130.333, 8.348, 11.771 False
253.665, 130.320, 8.347, 11.804 False
253.387, 130.307, 8.347, 11.837 False
253.109, 130.294, 8.347, 11.870 False
252.831, 130.281, 8.346, 11.903 False
252.553, 130.268, 8.346, 11.936 False
252.275, 130.256, 8.346, 11.969 False
251.997, 130.243, 8.345, 12.002 False
251.719, 130.230, 8.345, 12.035 False
251.442, 130.217, 8.345, 12.068 False
251.164, 130.204, 8.344, 12.101 False
250.886, 130.191, 8.344, 12.134 False
250.608, 130.178, 8.344, 12.167 False
250.330, 130.165, 8.344, 12.200 False
250.052, 130.152, 8.343, 12.233 False
249.775, 130.140, 8.343, 12.266 False
249.497, 130.127, 8.343, 12.299 False
249.219, 130.114, 8.343, 12.332 False
248.941, 130.101, 8.342, 12.365 False
248.664, 130.088, 8.342, 12.398 False
248.386, 130.076, 8.342, 12.431 False
248.108, 130.063, 8.342, 12.464 False
247.830, 130.050, 8.341, 12.497 False
247.552, 130.037, 8.341, 12.530 False
247.275, 130.025, 8.341, 12.563 False
246.997, 130.012, 8.341, 12.596 False
246.719, 130.000, 8.341, 12.629 False
246.442, 129.987, 8.340, 12.662 False
246.164, 129.974, 8.340, 12.695 False
245.886, 129.962, 8.340, 12.728 False
245.608, 129.950, 8.340, 12.761 False
245.331, 129.937, 8.340, 12.794 False
245.053, 129.925, 8.340, 12.827 False
244.775, 129.912, 8.339, 12.860 False
244.498, 129.900, 8.339, 12.893 False
244.220, 129.888, 8.339, 12.926 False
243.942, 129.876, 8.339, 12.959 False
243.664, 129.864, 8.339, 12.992 False
243.387, 129.852, 8.339, 13.025 False
243.109, 129.840, 8.338, 13.058 False
242.831, 129.828, 8.338, 13.091 False
242.554, 129.816, 8.338, 13.124 False
242.276, 129.804, 8.338, 13.157 False
241.998, 129.792, 8.338, 13.190 False
241.721, 129.780, 8.338, 13.223 False
241.443, 129.769, 8.338, 13.256 False
241.165, 129.757, 8.338, 13.289 False
240.888, 129.746, 8.337, 13.322 False
240.610, 129.734, 8.337, 13.355 False
240.332, 129.723, 8.337, 13.388 False
240.055, 129.711, 8.337, 13.421 False
239.777, 129.700, 8.337, 13.454 False
239.499, 129.689, 8.337, 13.487 False
239.222, 129.678, 8.337, 13.520 False
238.944, 129.667, 8.337, 13.553 False
238.666, 129.656, 8.337, 13.586 False
238.389, 129.645, 8.337, 13.619 False
238.111, 129.634, 8.336, 13.652 False
237.833, 129.623, 8.336, 13.685 False
237.556, 129.613, 8.336, 13.718 False
237.278, 129.602, 8.336, 13.751 False
237.000, 129.592, 8.336, 13.784 False
236.723, 129.581, 8.336, 13.817 False
236.445, 129.571, 8.336, 13.850 False
236.167, 129.561, 8.336, 13.883 False
235.890, 129.551, 8.336, 13.916 False
235.612, 129.541, 8.336, 13.949 False
235.334, 129.532, 8.336, 13.982 False
235.056, 129.522, 8.336, 14.015 False
234.779, 129.512, 8.336, 14.048 False
234.501, 129.503, 8.335, 14.081 False
234.223, 129.493, 8.335, 14.114 False
233.946, 129.484, 8.335, 14.147 False
233.668, 129.475, 8.335, 14.180 False
233.390, 129.466, 8.335, 14.213 False
233.113, 129.456, 8.335, 14.246 False
232.835, 129.447, 8.335, 14.279 False
232.557, 129.439, 8.335, 14.312 False
232.280, 129.430, 8.335, 14.345 False
232.002, 129.421, 8.335, 14.378 False
231.724, 129.413, 8.335, 14.411 False
231.446, 129.405, 8.335, 14.444 False
231.169, 129.397, 8.335, 14.477 False
230.891, 129.388, 8.335, 14.510 False
230.613, 129.380, 8.335, 14.543 False
230.336, 129.372, 8.335, 14.576 False
230.058, 129.364, 8.335, 14.609 False
229.780, 129.357, 8.335, 14.642 False
229.503, 129.349, 8.335, 14.675 False
229.225, 129.341, 8.335, 14.708 False
228.947, 129.334, 8.334, 14.741 False
228.669, 129.326, 8.334, 14.774 False
228.392, 129.319, 8.334, 14.807 False
228.114, 129.312, 8.334, 14.840 False
227.836, 129.305, 8.334, 14.873 False
227.558, 129.298, 8.334, 14.906 False
227.281, 129.292, 8.334, 14.939 False
227.003, 129.285, 8.334, 14.972 False
226.725, 129.278, 8.334, 15.005 False
226.447, 129.272, 8.334, 15.038 False
226.170, 129.266, 8.334, 15.071 False
225.892, 129.259, 8.334, 15.104 False
225.614, 129.253, 8.334, 15.137 False
225.337, 129.247, 8.334, 15.170 False
225.059, 129.241, 8.334, 15.203 False
224.781, 129.235, 8.334, 15.236 False
224.503, 129.230, 8.334, 15.269 False
224.226, 129.224, 8.334, 15.302 False
223.948, 129.218, 8.334, 15.335 False
223.670, 129.213, 8.334, 15.368 False
223.392, 129.207, 8.334, 15.401 False
223.115, 129.202, 8.334, 15.434 False
222.837, 129.197, 8.334, 15.467 False
222.559, 129.192, 8.334, 15.500 False
222.281, 129.187, 8.334, 15.533 False
222.004, 129.182, 8.334, 15.566 False
221.726, 129.177, 8.334, 15.599 False
221.448, 129.172, 8.334, 15.632 False
221.170, 129.167, 8.334, 15.665 False
220.893, 129.163, 8.334, 15.698 False
220.615, 129.158, 8.334, 15.731 False
220.337, 129.155, 8.334, 15.764 False
220.059, 129.151, 8.334, 15.797 False
219.782, 129.147, 8.334, 15.830 False
219.504, 129.143, 8.333, 15.863 False
219.226, 129.140, 8.333, 15.896 False
218.948, 129.136, 8.334, 15.929 False
218.671, 129.133, 8.334, 15.962 False
218.393, 129.130, 8.334, 15.995 False
218.115, 129.126, 8.334, 16.028 False
217.837, 129.123, 8.334, 16.061 False
217.559, 129.120, 8.334, 16.094 False
217.282, 129.117, 8.334, 16.127 False
217.004, 129.114, 8.334, 16.160 False
216.726, 129.112, 8.334, 16.193 False
216.448, 129.109, 8.334, 16.226 False
216.171, 129.106, 8.333, 16.259 False
215.893, 129.104, 8.333, 16.292 False
215.615, 129.101, 8.333, 16.325 False
215.337, 129.099, 8.333, 16.358 False
215.059, 129.097, 8.333, 16.391 False
214.782, 129.094, 8.333, 16.424 False
214.504, 129.092, 8.333, 16.457 False
214.226, 129.090, 8.333, 16.490 False
213.948, 129.088, 8.333, 16.523 False
213.671, 129.086, 8.333, 16.556 False
213.393, 129.085, 8.333, 16.589 False
213.115, 129.083, 8.333, 16.622 False
212.837, 129.081, 8.333, 16.655 False
212.559, 129.080, 8.333, 16.688 False
212.282, 129.079, 8.333, 16.721 False
212.004, 129.078, 8.333, 16.754 False
211.726, 129.077, 8.333, 16.787 False
211.448, 129.076, 8.333, 16.820 False
211.171, 129.075, 8.333, 16.853 False
210.893, 129.074, 8.333, 16.886 False
210.615, 129.073, 8.333, 16.919 False
210.337, 129.072, 8.333, 16.952 False
210.060, 129.072, 8.333, 16.985 False
209.782, 129.071, 8.333, 17.018 False
209.504, 129.071, 8.333, 17.051 False
209.226, 129.070, 8.333, 17.084 False
208.948, 129.070, 8.333, 17.117 False
208.671, 129.070, 8.333, 17.150 False
208.393, 129.070, 8.333, 17.183 False
208.115, 129.069, 8.333, 17.216 False
207.837, 129.069, 8.333, 17.249 False
207.560, 129.069, 8.333, 17.282 False
207.282, 129.069, 8.333, 17.315 False
207.004, 129.070, 8.333, 17.348 False
206.726, 129.070, 8.333, 17.381 False
206.448, 129.070, 8.333, 17.414 False
206.171, 129.071, 8.333, 17.447 False
205.893, 129.071, 8.333, 17.480 False
205.615, 129.071, 8.333, 17.513 False
205.337, 129.072, 8.333, 17.546 False
205.060, 129.073, 8.333, 17.579 False
204.782, 129.073, 8.333, 17.612 False
204.504, 129.074, 8.333, 17.645 False
204.226, 129.075, 8.333, 17.678 False
203.948, 129.076, 8.333, 17.711 False
203.671, 129.076, 8.333, 17.744 False
203.393, 129.077, 8.333, 17.777 False
203.115, 129.078, 8.333, 17.810 False
202.837, 129.080, 8.333, 17.843 False
202.560, 129.081, 8.333, 17.876 False
202.282, 129.082, 8.333, 17.909 False
